code,pref,city,pop_2020,bus_odpt,bus_temp,bus_outside,bus_none,rail_odpt,rail_temp,rail_outside,rail_none,tourism,bus_open,bus_total,bus_share
01101,北海道,札幌市中央区,250176,12,0,3,249,0,0,0,9,4,15,264,5.7
01102,北海道,札幌市北区,289554,0,0,0,271,0,0,0,4,0,0,271,0.0
01103,北海道,札幌市東区,265450,0,0,0,196,0,0,0,3,3,0,196,0.0
01104,北海道,札幌市白石区,212980,0,0,0,170,0,0,0,3,0,0,170,0.0
01105,北海道,札幌市豊平区,223197,0,0,0,157,0,0,0,2,0,0,157,0.0
01106,北海道,札幌市南区,136143,0,0,0,214,0,0,0,1,0,0,214,0.0
01107,北海道,札幌市西区,215258,0,0,0,158,0,0,0,3,0,0,158,0.0
01108,北海道,札幌市厚別区,125949,4,0,0,184,0,0,0,3,0,4,188,2.1
01109,北海道,札幌市手稲区,141486,0,0,0,147,0,0,0,1,0,0,147,0.0
01110,北海道,札幌市清田区,114608,0,0,0,160,0,0,0,0,0,0,160,0.0
01202,北海道,函館市,249794,20,0,0,562,0,0,0,6,4,20,582,3.4
01203,北海道,小樽市,111129,0,0,0,260,0,0,0,1,0,0,260,0.0
01204,北海道,旭川市,329655,10,0,0,734,0,0,0,4,1,10,744,1.3
01205,北海道,室蘭市,81874,0,0,0,180,0,0,0,1,0,0,180,0.0
01206,北海道,釧路市,166270,0,0,15,492,0,0,0,2,3,15,507,3.0
01207,北海道,帯広市,169138,144,0,0,322,0,0,0,1,0,144,466,30.9
01208,北海道,北見市,116312,0,0,0,376,0,0,0,1,0,0,376,0.0
01209,北海道,夕張市,7185,0,0,0,59,0,0,0,1,0,0,59,0.0
01210,北海道,岩見沢市,78591,0,0,0,294,0,0,0,2,0,0,294,0.0
01211,北海道,網走市,37022,0,0,0,185,0,0,0,2,0,0,185,0.0
01212,北海道,留萌市,19968,0,0,0,118,0,0,0,0,0,0,118,0.0
01213,北海道,苫小牧市,170448,0,0,0,316,0,0,0,3,0,0,316,0.0
01214,北海道,稚内市,33212,0,0,0,141,0,0,0,1,0,0,141,0.0
01215,北海道,美唄市,20254,0,0,0,195,0,0,0,1,0,0,195,0.0
01216,北海道,芦別市,12761,0,0,0,64,0,0,0,1,0,0,64,0.0
01217,北海道,江別市,116429,0,0,0,235,0,0,0,1,0,0,235,0.0
01218,北海道,赤平市,9555,0,0,0,36,0,0,0,1,0,0,36,0.0
01219,北海道,紋別市,21249,0,0,0,172,0,0,0,0,1,0,172,0.0
01220,北海道,士別市,18121,0,0,0,193,0,0,0,1,0,0,193,0.0
01221,北海道,名寄市,27361,0,0,0,182,0,0,0,1,0,0,182,0.0
01222,北海道,三笠市,7743,0,0,0,33,0,0,0,0,0,0,33,0.0
01223,北海道,根室市,24461,0,0,123,1,0,0,0,1,0,123,124,99.2
01224,北海道,千歳市,96739,0,0,0,275,0,0,0,2,2,0,275,0.0
01225,北海道,滝川市,38922,0,0,0,104,0,0,0,2,0,0,104,0.0
01226,北海道,砂川市,16210,0,0,0,33,0,0,0,1,0,0,33,0.0
01227,北海道,歌志内市,2884,0,0,0,20,0,0,0,0,0,0,20,0.0
01228,北海道,深川市,20156,0,0,0,141,0,0,0,2,0,0,141,0.0
01229,北海道,富良野市,21596,2,0,0,100,0,0,0,2,0,2,102,2.0
01230,北海道,登別市,47150,0,0,0,95,0,0,0,1,1,0,95,0.0
01231,北海道,恵庭市,69449,0,0,0,91,0,0,0,1,0,0,91,0.0
01233,北海道,伊達市,33520,0,0,0,86,0,0,0,1,0,0,86,0.0
01234,北海道,北広島市,57339,0,0,0,131,0,0,0,1,0,0,131,0.0
01235,北海道,石狩市,55066,0,0,49,83,0,0,0,0,2,49,132,37.1
01236,北海道,北斗市,43973,0,0,0,131,0,0,0,3,0,0,131,0.0
01303,北海道,当別町,15718,0,0,0,62,0,0,0,1,0,0,62,0.0
01304,北海道,新篠津村,3052,0,0,0,5,0,0,0,0,0,0,5,0.0
01331,北海道,松前町,6109,0,0,0,85,0,0,0,0,0,0,85,0.0
01332,北海道,福島町,3742,0,0,0,22,0,0,0,2,0,0,22,0.0
01333,北海道,知内町,4219,0,0,0,35,0,0,0,2,0,0,35,0.0
01334,北海道,木古内町,3856,0,0,0,32,0,0,0,3,0,0,32,0.0
01337,北海道,七飯町,27228,0,0,0,63,0,0,0,2,2,0,63,0.0
01343,北海道,鹿部町,3914,0,0,0,34,0,0,0,1,0,0,34,0.0
01345,北海道,森町,14138,0,0,0,77,0,0,0,1,1,0,77,0.0
01346,北海道,八雲町,15600,0,0,0,44,0,0,0,1,0,0,44,0.0
01347,北海道,長万部町,5182,0,0,0,39,0,0,0,2,0,0,39,0.0
01361,北海道,江差町,7392,0,0,0,43,0,0,0,0,0,0,43,0.0
01362,北海道,上ノ国町,4239,0,0,0,37,0,0,0,0,0,0,37,0.0
01363,北海道,厚沢部町,3618,0,0,0,36,0,0,0,0,0,0,36,0.0
01364,北海道,乙部町,3414,0,0,0,16,0,0,0,0,0,0,16,0.0
01367,北海道,奥尻町,2305,0,0,0,0,0,0,0,0,0,0,0,
01370,北海道,今金町,5082,0,0,0,28,0,0,0,0,0,0,28,0.0
01371,北海道,せたな町,7435,0,0,0,51,0,0,0,0,0,0,51,0.0
01391,北海道,島牧村,1309,0,0,0,32,0,0,0,0,0,0,32,0.0
01392,北海道,寿都町,2766,0,0,0,38,0,0,0,0,0,0,38,0.0
01393,北海道,黒松内町,2805,0,0,0,20,0,0,0,2,0,0,20,0.0
01394,北海道,蘭越町,4352,0,0,0,15,0,0,0,1,0,0,15,0.0
01395,北海道,ニセコ町,4948,0,0,0,41,0,0,0,1,0,0,41,0.0
