unified_id,name,lg_code,pref,city,ckan_orgs,odpt_operators,gtfs_orgs,registries,evidence,needs_review,review_reason
ckan:keisei_transit_bus,京成バス千葉ウエスト株式会社,,,,keisei_transit_bus,KeiseiTransitBus,keisei-transitbus,3,ckan_url|location|name,,
ckan:kunitachi_city,国立市道路交通課,132152,東京都,国立市,kunitachi_city,KunitachiCity,kunitachicity,3,ckan_url|lgcode|location,,
ckan:tosa_city,土佐市,392057,高知県,土佐市,tosa_city,TosaCity,tosacity,3,ckan_url|lgcode|location|name,,
ckan:otone_kotsu,大利根交通自動車株式会社,,,,otone_kotsu,OtoneKotsu,otonekotu,3,ckan_url|location|name,,
ckan:daishinto,大新東株式会社,,,,daishinto,Daishinto,daishinto,3,ckan_url|location|name,,
ckan:nagai_transportation,永井運輸株式会社,,,,nagai_transportation,NagaiTransportation,nagai-unyu,3,ckan_url|location|name,,
ckan:mizuho_town,瑞穂町,133035,東京都,瑞穂町,mizuho_town,MizuhoTown,mizuhotown,3,ckan_url|lgcode|location|name,,
ckan:tachikawa_city,立川市,132021,東京都,立川市,tachikawa_city,TachikawaCity,tachikawacity,3,ckan_url|lgcode|location|name,,
ckan:jreast,JR東日本,,,,jreast,JR-East,,2,name,,
ckan:jre-is,JR東日本アイステイションズ,,,,jre-is,jre-is,,2,name,,
ckan:tsukuba_kankou_kotsu,つくば観光交通株式会社,,,,tsukuba_kankou_kotsu,TsukubaKankouKotsu,,2,ckan_url,,
ckan:midori_city,みどり市,102121,群馬県,みどり市,midori_city,MidoriCity,,2,ckan_url,,
ckan:yurikamome,ゆりかもめ,,,,yurikamome,Yurikamome,,2,name,,
ckan:okushiri_island_ferry,オクシリアイランドフェリー株式会社,,,,okushiri_island_ferry,OkushiriIslandFerry,,2,ckan_url,,
ckan:a_line_ferry,マルエーフェリー,,,,a_line_ferry,ALineFerry,,2,ckan_url,,
ckan:shichigahama_town,七ヶ浜町,044041,宮城県,七ヶ浜町,shichigahama_town,,shichigahamatown,2,lgcode|name,,
ckan:sanwa_merchant_vessel,三和商船株式会社,,,,sanwa_merchant_vessel,SanwaMerchantVessel,,2,ckan_url,,
ckan:miyake_vill,三宅村,133817,東京都,三宅村,miyake_vill,MiyakeVill,,2,ckan_url,,
ckan:city_mitoyo_kagawa,三豊市（香川県）,372081,香川県,三豊市,city_mitoyo_kagawa,,mitoyocity,2,lgcode|location,,
ckan:joshin_hire,上信ハイヤー株式会社,,,,joshin_hire,JoshinHire,,2,ckan_url,,
ckan:city_joetsu_niigata,上越市（新潟県）,152226,新潟県,上越市,city_joetsu_niigata,,joetsucity,2,lgcode,,
ckan:shimoden,下津井電鉄株式会社,,,,shimoden,Shimoden,,2,ckan_url,,
ckan:tokyo_chuo_city,中央区役所,131024,東京都,中央区,tokyo_chuo_city,TokyoChuoCity,,2,ckan_url,,
ckan:marubun_kisen,丸文松島汽船,,,,marubun_kisen|marubunkisen,MarubunKisen,,2,ckan_url|name,yes,CKAN に同一事業者が重複登録されている
ckan:kyusho_ferry,九商フェリー,,,,kyusho_ferry|kyushoferry,KyushoFerry,,2,ckan_url|name,yes,CKAN に同一事業者が重複登録されている
ckan:keikyu,京急電鉄,,,,keikyu,Keikyu,,2,name,,
ckan:keio,京王電鉄,,,,keio,Keio,,2,name,,
ckan:keio_bus,京王電鉄バス株式会社,,,,keio_bus,KeioBus,,2,ckan_url,,
ckan:keifuku_bus,京福バス株式会社,,,,keifuku_bus,KeifukuBus,,2,ckan_url,,
ckan:kyoto_bus,京都バス株式会社,,,,kyoto_bus,KyotoBus,,2,ckan_url,,
ckan:kyoto_municipal_transportation,京都市交通局,261009,京都府,京都市,kyoto_municipal_transportation,KyotoMunicipalTransportation,,2,ckan_url,,
ckan:sendai_municipal,仙台市交通局,041009,宮城県,仙台市,sendai_municipal,SendaiMunicipal,,2,ckan_url|name,,
ckan:izuhakone_bus,伊豆箱根バス株式会社,,,,izuhakone_bus,IzuhakoneBus,,2,ckan_url,,
ckan:bingo_shosen,備後商船,,,,bingo_shosen|bingoshosen,BingoShosen,,2,ckan_url|name,yes,CKAN に同一事業者が重複登録されている
ckan:hakodate_city,函館市企業局,012025,北海道,函館市,hakodate_city,HakodateCity,,2,ckan_url,,
ckan:hokkaido_takushoku_bus,北海道拓殖バス株式会社,,,,hokkaido_takushoku_bus,HokkaidoTakushokuBus,,2,ckan_url,,
ckan:juo_bus,十王自動車株式会社,,,,juo_bus,JuoBus,,2,ckan_url,,
ckan:tokyo_taito_city,台東区,131067,東京都,台東区,tokyo_taito_city,TokyoTaitoCity,,2,ckan_url,,
ckan:nagoya_housing_city_planning_bureau,名古屋市住宅都市局,,,,nagoya_housing_city_planning_bureau,NagoyaHousingCityPlanningBureau,,2,ckan_url,,
ckan:suonada_ferry,周防灘フェリー,,,,suonada_ferry|suonadaferry,SuonadaFerry,,2,ckan_url|name,yes,CKAN に同一事業者が重複登録されている
ckan:orange_ferry,四国開発フェリー株式会社,,,,orange_ferry,OrangeFerry,,2,ckan_url,,
ckan:kokubunji_city,国分寺市,132144,東京都,国分寺市,kokubunji_city,KokubunjiCity,,2,ckan_url,,
ckan:tamamonorail,多摩都市モノレール,,,,tamamonorail,TamaMonorail,,2,name,,
ckan:oshima_bus,大島旅客自動車株式会社,,,,oshima_bus,OshimaBus,,2,ckan_url,,
ckan:himeshima_vill,姫島村（大分県）,443221,大分県,姫島村,himeshima_vill|village_himeshima_oita,HimeshimaVill,,2,ckan_url|lgcode|name,yes,CKAN に同一事業者が重複登録されている
ckan:uwajima_unyu,宇和島運輸株式会社,,,,uwajima_unyu,UwajimaUnyu,,2,ckan_url,,
ckan:uno_bus,宇野自動車株式会社,,,,uno_bus,UnoBus,,2,ckan_url,,
ckan:odakyu_bus,小田急バス,,,,odakyu_bus,OdakyuBus,,2,ckan_url|name,,
ckan:odakyu,小田急電鉄,,,,odakyu,Odakyu,,2,name,,
ckan:shodoshima_olive_bus,小豆島オリーブバス株式会社,,,,shodoshima_olive_bus,ShodoshimaOliveBus,,2,ckan_url,,
ckan:transportation_bureau_city_of_kawasaki,川崎市交通局,141305,神奈川県,川崎市,transportation_bureau_city_of_kawasaki,TransportationBureau_CityOfKawasaki,,2,ckan_url,,
ckan:kawasaki_tsurumi_rinko_bus,川崎鶴見臨港バス株式会社,,,,kawasaki_tsurumi_rinko_bus,KawasakiTsurumiRinkoBus,,2,ckan_url,,
ckan:naa,成田国際空港,,,,naa,NAA,,2,name,,
ckan:itsukishima_kisen,斎島汽船,,,,itsukishima_kisen|itsukishimakisen,ItsukishimaKisen,,2,ckan_url|name,yes,CKAN に同一事業者が重複登録されている
ckan:nippon_chuo_bus,日本中央バス株式会社,,,,nippon_chuo_bus,NipponChuoBus,,2,ckan_url,,
ckan:jat,日本空港ビルデング,,,,jat,HND-JAT,,2,name,,
ckan:jal,日本航空,,,,jal,JAL,,2,name,,
ckan:hitachi_automobile_transportation,日立自動車交通株式会社,,,,hitachi_automobile_transportation,HitachiAutomobileTransportation,,2,ckan_url,,
ckan:tokyo_suginami_city,杉並区,131156,東京都,杉並区,tokyo_suginami_city,TokyoSuginamiCity,,2,ckan_url,,
ckan:tokyometro,東京メトロ,,,,tokyometro,TokyoMetro,,2,name,,
ckan:tiat,東京国際空港ターミナル,,,,tiat,HND-TIAT,,2,name,,
ckan:twr,東京臨海高速鉄道,,,,twr,TWR,,2,name,,
ckan:toei,東京都交通局,,,,toei,Toei,,2,name,,
ckan:tokyo_cruise_ship,東京都観光汽船株式会社,,,,tokyo_cruise_ship,TokyoCruiseShip,,2,ckan_url,,
ckan:higashiyamato_city,東大和市,132209,東京都,東大和市,higashiyamato_city,HigashiyamatoCity,,2,ckan_url,,
ckan:tokyu_bus,東急バス株式会社,,,,tokyu_bus,TokyuBus,,2,ckan_url|name,,
ckan:tokyu,東急電鉄,,,,tokyu,Tokyu,,2,name,,
ckan:higashi_murayama_city,東村山市,132136,東京都,東村山市,higashi_murayama_city,HigashiMurayamaCity,,2,ckan_url,,
ckan:tobu,東武鉄道,,,,tobu,Tobu,,2,name,,
ckan:tokai_kisen,東海汽船株式会社,,,,tokai_kisen,TokaiKisen,,2,ckan_url,,
ckan:matsue_city_traffic_office,松江市交通局,322016,島根県,松江市,matsue_city_traffic_office,MatsueCityTrafficOffice,,2,ckan_url,,
ckan:joshin_kanko_bus,株式会社上信観光バス,,,,joshin_kanko_bus,JoshinKankoBus,,2,ckan_url,,
ckan:meimon_taiyo_ferry,株式会社名門大洋フェリー,,,,meimon_taiyo_ferry,MeimonTaiyoFerry,,2,ckan_url,,
ckan:gunma_bus,株式会社群馬バス,,,,gunma_bus,GunmaBus,,2,ckan_url,,
ckan:yokohama_municipal,横浜市交通局,141003,神奈川県,横浜市,yokohama_municipal,YokohamaMunicipal,,2,ckan_url|name,,
ckan:kiyose_city,清瀬市,132217,東京都,清瀬市,kiyose_city,KiyoseCity,,2,ckan_url,,
ckan:machida_city,町田市,132098,東京都,町田市,machida_city,MachidaCity,,2,ckan_url,,
ckan:sotetsu,相模鉄道,,,,sotetsu,Sotetsu,,2,name,,
ckan:sotetsu_bus,相鉄バス,,,,sotetsu_bus,SotetsuBus,,2,name,,
ckan:akita_city,秋田市,052019,秋田県,秋田市,akita_city,AkitaCity,,2,ckan_url,,
ckan:akiha_bus_service,秋葉バスサービス株式会社,,,,akiha_bus_service,AkihaBusService,,2,ckan_url,,
ckan:taneyaku_kousokusen,種子屋久高速船,,,,taneyaku_kousokusen|taneyakukousokusen,TaneyakuKousokusen,,2,ckan_url|name,yes,CKAN に同一事業者が重複登録されている
ckan:inagi_city,稲城市,132250,東京都,稲城市,inagi_city,InagiCity,,2,ckan_url,,
ckan:gunmachuo_bus,群馬中央バス株式会社,,,,gunmachuo_bus,GunmachuoBus,,2,ckan_url,,
ckan:sentetsu_bus,船木鉄道株式会社,,,,sentetsu_bus,SentetsuBus,,2,ckan_url,,
ckan:nishi_tokyo_bus,西東京バス,,,,nishi_tokyo_bus,NishiTokyoBus,,2,ckan_url|name,,
ckan:nishitokyo_city,西東京市,132292,東京都,西東京市,nishitokyo_city,NishitokyoCity,,2,ckan_url,,
ckan:seibu_bus,西武バス,,,,seibu_bus,SeibuBus,,2,name,,
ckan:seibu,西武鉄道,,,,seibu,Seibu,,2,name,,
ckan:akaiwa_city,赤磐市,332135,岡山県,赤磐市,akaiwa_city,AkaiwaCity,,2,ckan_url,,
ckan:sakataferryoffice,酒田市定期航路事業所,062049,山形県,酒田市,sakataferryoffice,,sakatacity,2,lgcode,,
ckan:kanto_bus,関東バス株式会社,,,,kanto_bus,KantoBus,,2,ckan_url,,
ckan:kan_etsu_transportation,関越交通株式会社,,,,kan_etsu_transportation,Kan_etsuTransportation,,2,ckan_url,,
ckan:hankyu_ferry,阪九フェリー株式会社,,,,hankyu_ferry,HankyuFerry,,2,ckan_url,,
ckan:urban_development_aomori_city,青森市,022012,青森県,青森市,urban_development_aomori_city,UrbanDevelopment_AomoriCity,,2,ckan_url,,
ckan:aomori_city,青森市企業局交通部,,,,aomori_city,AomoriCity,,2,ckan_url,,
ckan:takasaki_city,高崎市,102024,群馬県,高崎市,takasaki_city,TakasakiCity,,2,ckan_url,,
ckan:kagoshima_city_maritime_bureau,鹿児島市船舶局,,,,kagoshima_city_maritime_bureau,KagoshimaCityMaritimeBureau,,2,ckan_url,,
odpt:AKX,ANAウイングス,,,,,AKX,,1,,,
odpt:ITY,ITAエアウェイズ,,,,,ITY,,1,,,
odpt:JR-Shikoku,JR四国,,,,,JR-Shikoku,,1,,,
gtfs:jr-east-morioka,JR東日本盛岡支社,,,,,,jr-east-morioka,1,,,
odpt:JR-Central,JR東海,,,,,JR-Central,,1,,,
odpt:JR-West,JR西日本,,,,,JR-West,,1,,,
ckan:jrfreight,JR貨物,,,,jrfreight,,,1,,,
odpt:KLM,KLMオランダ航空,,,,,KLM,,1,,,
odpt:LAN,LATAMチリ,,,,,LAN,,1,,,
odpt:TAM,LATAMブラジル,,,,,TAM,,1,,,
odpt:LOT,LOTポーランド航空,,,,,LOT,,1,,,
odpt:MGL,MIATモンゴル航空,,,,,MGL,,1,,,
ckan:monet,MONET Technologies,,,,monet,,,1,,,
gtfs:kiyosato,NPO法人清里観光振興会,,,,,,kiyosato,1,,,
ckan:openstreet,OpenStreet（ハローサイクリング）,,,,openstreet,,,1,,,
odpt:APJ,Peach Aviation,,,,,APJ,,1,,,
odpt:SBI,S7航空,,,,,SBI,,1,,,
odpt:VSV,SCAT航空,,,,,VSV,,1,,,
ckan:swat,SWAT Mobility,,,,swat,,,1,,,
gtfs:feel-the-zao,「世界の蔵王」プロジェクト実行委員会,,,,,,feel-the-zao,1,,,
gtfs:aoi-komaki,あおい交通,,,,,,aoi-komaki,1,,,
gtfs:amacity,あま市,232378,愛知県,あま市,,,amacity,1,,,
odpt:Isumi,いすみ鉄道,,,,,Isumi,,1,,,
