n02_operator,n02_line,op_kind,kind,stations,segments,status,status_after,odpt_railways,odpt_operator,gtfs_org,gtfs_name
とさでん交通,伊野線,第三セクター,軌道,34,67,ODPT外にあり,ODPT外にあり,,,tosaden-kotsu,とさでん交通株式会社
とさでん交通,後免線,第三セクター,軌道,33,65,ODPT外にあり,ODPT外にあり,,,tosaden-kotsu,とさでん交通株式会社
とさでん交通,桟橋線,第三セクター,軌道,8,15,ODPT外にあり,ODPT外にあり,,,tosaden-kotsu,とさでん交通株式会社
とさでん交通,駅前線,第三セクター,軌道,4,7,ODPT外にあり,ODPT外にあり,,,kochi-ekimae-kanko,株式会社高知駅前観光
万葉線,新湊港線,第三セクター,普通鉄道,8,15,ODPT外にあり,ODPT外にあり,,,manyosen,万葉線
万葉線,高岡軌道線,第三セクター,軌道,18,35,ODPT外にあり,ODPT外にあり,,,manyosen,万葉線
伊勢鉄道,伊勢線,第三セクター,普通鉄道,10,20,ODPT外にあり,ODPT外にあり,,,isetetu,伊勢鉄道
富山地方鉄道,呉羽線,民営鉄道,軌道,3,5,ODPT外にあり,ODPT外にあり,,,chitetsu,富山地方鉄道
富山地方鉄道,安野屋線,民営鉄道,軌道,3,5,ODPT外にあり,ODPT外にあり,,,chitetsu,富山地方鉄道
富山地方鉄道,富山港線,民営鉄道,軌道,15,29,ODPT外にあり,ODPT外にあり,,,chitetsu,富山地方鉄道
富山地方鉄道,富山都心線,民営鉄道,軌道,5,9,ODPT外にあり,ODPT外にあり,,,chitetsu,富山地方鉄道
富山地方鉄道,支線,民営鉄道,軌道,4,9,ODPT外にあり,ODPT外にあり,,,chitetsu,富山地方鉄道
山形鉄道,フラワー長井線,第三セクター,普通鉄道,17,38,ODPT外にあり,ODPT外にあり,,,yamagatatetsudo,山形鉄道株式会社
弘南鉄道,大鰐線,民営鉄道,普通鉄道,14,27,ODPT外にあり,ODPT外にあり,,,hirosakicity,弘前市
弘南鉄道,弘南線,民営鉄道,普通鉄道,13,25,ODPT外にあり,ODPT外にあり,,,hirosakicity,弘前市
明知鉄道,明知線,第三セクター,普通鉄道,11,22,ODPT外にあり,ODPT外にあり,,,aketetsu,明知鉄道
熊本市,上熊本線,公営鉄道,軌道,10,20,ODPT外にあり,ODPT外にあり,,,kumamoto-shiden,熊本市交通局
熊本市,健軍線,公営鉄道,軌道,9,17,ODPT外にあり,ODPT外にあり,,,kumamoto-shiden,熊本市交通局
熊本市,幹線,公営鉄道,軌道,10,20,ODPT外にあり,ODPT外にあり,,,kumamoto-shiden,熊本市交通局
熊本市,水前寺線,公営鉄道,軌道,7,13,ODPT外にあり,ODPT外にあり,,,kumamoto-shiden,熊本市交通局
熊本市,田崎線,公営鉄道,軌道,3,5,ODPT外にあり,ODPT外にあり,,,kumamoto-shiden,熊本市交通局
熊本電気鉄道,菊池線,民営鉄道,普通鉄道,16,32,ODPT外にあり,ODPT外にあり,,,kumamotodentetsu,熊本電鉄
熊本電気鉄道,藤崎線,民営鉄道,普通鉄道,3,6,ODPT外にあり,ODPT外にあり,,,kumamotodentetsu,熊本電鉄
阿佐海岸鉄道,阿佐東線,第三セクター,普通鉄道,4,7,ODPT外にあり,ODPT外にあり,,,asatetu,阿佐海岸鉄道株式会社
IRいしかわ鉄道,IRいしかわ鉄道線,第三セクター,普通鉄道,19,38,データなし,データなし,,,,
JR東海交通事業,城北線,民営鉄道,普通鉄道,6,14,データなし,データなし,,,,
WILLER　TRAINS,宮津線,第三セクター,普通鉄道,19,39,データなし,データなし,,,,
WILLER　TRAINS,宮福線,第三セクター,普通鉄道,14,28,データなし,データなし,,,,
あいの風とやま鉄道,あいの風とやま鉄道線,第三セクター,普通鉄道,23,56,データなし,データなし,,,,
えちごトキめき鉄道,妙高はねうまライン,第三セクター,普通鉄道,10,21,データなし,データなし,,,,
えちごトキめき鉄道,日本海ひすいライン,第三セクター,普通鉄道,13,33,データなし,データなし,,,,
えちぜん鉄道,三国芦原線,第三セクター,普通鉄道,22,43,データなし,データなし,,,,
えちぜん鉄道,勝山永平寺線,第三セクター,普通鉄道,23,46,データなし,データなし,,,,
くま川鉄道,湯前線,第三セクター,普通鉄道,14,28,データなし,データなし,,,,
こうべ未来都市機構,摩耶ケーブル線,民営鉄道,鋼索鉄道,2,3,データなし,データなし,,,,
しなの鉄道,しなの鉄道線,第三セクター,普通鉄道,19,38,データなし,データなし,,,,
しなの鉄道,北しなの線,第三セクター,普通鉄道,8,16,データなし,データなし,,,,
のと鉄道,七尾線,第三セクター,普通鉄道,8,15,データなし,データなし,,,,
アイジーアールいわて銀河鉄道,いわて銀河鉄道線,第三セクター,普通鉄道,18,65,データなし,データなし,,,,
アルピコ交通,上高地線,民営鉄道,普通鉄道,14,27,データなし,データなし,,,,
ハピラインふくい,ハピラインふくい線,第三セクター,普通鉄道,19,41,データなし,データなし,,,,
ラクテンチ,別府ラクテンチケーブル線,民営鉄道,鋼索鉄道,2,3,データなし,データなし,,,,
一畑電車,北松江線,民営鉄道,普通鉄道,22,44,データなし,データなし,,,,
一畑電車,大社線,民営鉄道,普通鉄道,5,10,データなし,データなし,,,,
一般社団法人札幌市交通事業振興公社,1条線,第三セクター,軌道,4,7,データなし,データなし,,,,
一般社団法人札幌市交通事業振興公社,山鼻線,第三セクター,軌道,12,23,データなし,データなし,,,,
一般社団法人札幌市交通事業振興公社,山鼻西線,第三セクター,軌道,9,17,データなし,データなし,,,,
一般社団法人札幌市交通事業振興公社,都心線,第三セクター,軌道,4,8,データなし,データなし,,,,
一般財団法人青函トンネル記念館,青函トンネル竜飛斜坑線,民営鉄道,鋼索鉄道,2,3,データなし,データなし,,,,
三国芦原線,えちぜん鉄道,第三セクター,普通鉄道,0,1,データなし,データなし,,,,
三岐鉄道,三岐線,民営鉄道,普通鉄道,14,28,データなし,データなし,,,,
三岐鉄道,北勢線,民営鉄道,普通鉄道,13,25,データなし,データなし,,,,
三岐鉄道,近鉄連絡線,民営鉄道,普通鉄道,1,3,データなし,データなし,,,,
三陸鉄道,リアス線,第三セクター,普通鉄道,15,30,データなし,データなし,,,,
三陸鉄道,北リアス線,第三セクター,普通鉄道,18,36,データなし,データなし,,,,
三陸鉄道,南リアス線,第三セクター,普通鉄道,10,20,データなし,データなし,,,,
上田電鉄,別所線,民営鉄道,普通鉄道,15,29,データなし,データなし,,,,
丹後海陸交通,天橋立鋼索鉄道,民営鉄道,鋼索鉄道,2,3,データなし,データなし,,,,
九州旅客鉄道,三角線,JR在来線,普通鉄道(JR),9,19,データなし,データなし,,,,
九州旅客鉄道,久大線,JR在来線,普通鉄道(JR),37,75,データなし,データなし,,,,
九州旅客鉄道,九州新幹線,JR新幹線,普通鉄道(JR),12,24,データなし,データなし,,,,
九州旅客鉄道,佐世保線,JR在来線,普通鉄道(JR),14,30,データなし,データなし,,,,
九州旅客鉄道,吉都線,JR在来線,普通鉄道(JR),17,35,データなし,データなし,,,,
九州旅客鉄道,唐津線,JR在来線,普通鉄道(JR),13,28,データなし,データなし,,,,
九州旅客鉄道,大村線,JR在来線,普通鉄道(JR),15,30,データなし,データなし,,,,
九州旅客鉄道,宮崎空港線,JR在来線,普通鉄道(JR),2,4,データなし,データなし,,,,
九州旅客鉄道,山陽線,JR在来線,普通鉄道(JR),2,3,データなし,データなし,,,,
九州旅客鉄道,後藤寺線,JR在来線,普通鉄道(JR),6,13,データなし,データなし,,,,
九州旅客鉄道,指宿枕崎線,JR在来線,普通鉄道(JR),36,72,データなし,データなし,,,,
九州旅客鉄道,日南線,JR在来線,普通鉄道(JR),28,57,データなし,データなし,,,,
九州旅客鉄道,日田彦山線,JR在来線,普通鉄道(JR),24,52,データなし,データなし,,,,
九州旅客鉄道,日豊線,JR在来線,普通鉄道(JR),112,258,データなし,データなし,,,,
九州旅客鉄道,筑肥線,JR在来線,普通鉄道(JR),31,62,データなし,データなし,,,,
九州旅客鉄道,筑豊線,JR在来線,普通鉄道(JR),26,56,データなし,データなし,,,,
九州旅客鉄道,篠栗線,JR在来線,普通鉄道(JR),11,23,データなし,データなし,,,,
九州旅客鉄道,肥薩線,JR在来線,普通鉄道(JR),28,68,データなし,データなし,,,,
九州旅客鉄道,西九州新幹線,JR新幹線,普通鉄道(JR),5,9,データなし,データなし,,,,
九州旅客鉄道,豊肥線,JR在来線,普通鉄道(JR),37,81,データなし,データなし,,,,
九州旅客鉄道,長崎線,JR在来線,普通鉄道(JR),41,97,データなし,データなし,,,,
