pref_code,pref,pop_2020,rail_odpt,rail_temp,rail_outside,rail_none,bus_odpt,bus_temp,bus_outside,bus_none,air_odpt,air_temp,air_outside,air_none,cycle_odpt,cycle_temp,cycle_outside,cycle_none,ferry_odpt,ferry_temp,ferry_outside,ferry_none,demand_odpt,demand_temp,demand_outside,demand_none,hokonavi,plateau,transfer,odpt_transfer,odpt_any,temp_only_rail,temp_only_bus
1,北海道,5216616,0,0,0,26,736,0,273,13465,0,0,0,17,108,0,0,0,5,0,0,0,0,0,134,0,0,3,0,0,1,0,0
2,青森県,1242667,2,4,2,6,613,0,2173,2299,0,0,0,2,1,0,0,0,0,0,0,0,0,0,588,0,0,2,1,1,1,0,0
3,岩手県,1220191,3,6,0,4,0,0,1064,5534,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
4,宮城県,2292327,3,9,0,1,1295,0,157,4228,0,0,0,1,183,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0
5,秋田県,962071,2,5,0,2,368,0,572,3965,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
6,山形県,1057163,1,6,1,0,1,0,2535,317,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
7,福島県,1831608,4,6,0,2,0,0,795,4800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,0,0
8,茨城県,2826207,5,7,0,2,88,0,602,6914,0,0,0,1,107,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0
9,栃木県,1963757,4,10,0,1,5,0,962,2811,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
10,群馬県,1923332,5,11,0,0,3266,0,294,1578,0,0,0,0,1,0,0,0,0,0,0,0,139,0,0,0,0,3,1,1,1,0,0
11,埼玉県,7293369,16,6,0,0,1558,1910,491,6029,0,0,0,0,2426,0,0,0,0,0,0,0,0,0,285,0,0,49,1,1,1,0,0
12,千葉県,6206041,13,16,0,2,175,0,1024,9819,1,0,0,0,1625,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,1,0,0
13,東京都,13734892,61,12,0,3,9797,376,147,2069,1,0,0,6,5853,0,0,0,10,0,0,0,0,0,117,0,18,63,1,1,1,0,0
14,神奈川県,9103463,24,9,0,4,4691,0,287,5728,0,0,0,0,2897,0,0,0,2,0,0,0,0,0,0,0,6,8,1,1,1,0,0
15,新潟県,2232080,2,11,0,6,221,0,668,7764,0,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0
16,富山県,1031555,0,0,7,13,1,0,2430,457,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0
17,石川県,1135578,0,0,0,8,10,0,790,3254,0,0,0,2,162,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
18,福井県,763272,0,0,0,9,1098,0,0,2497,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,山梨県,803892,1,4,0,0,42,0,449,2710,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
20,長野県,2024241,2,6,0,8,114,0,4895,3481,0,0,0,1,125,0,0,0,0,0,0,0,0,0,931,0,0,9,1,1,1,0,0
21,岐阜県,1971990,1,2,1,11,0,0,4866,1455,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0
22,静岡県,3619300,2,6,0,8,737,0,832,7276,0,0,0,1,374,0,0,0,11,0,0,0,0,0,0,0,0,35,1,1,1,0,0
